104.5061 	EXP 	grating: ori = 0.0
104.5061 	EXP 	fixation: autoDraw = True
105.0067 	EXP 	fixation: autoDraw = False
105.0067 	EXP 	grating: autoDraw = True
105.0617 	DATA 	Keypress: left
105.3057 	EXP 	grating: autoDraw = False
105.4423 	DATA 	Keypress: left
105.4932 	DATA 	Keypress: right
105.5058 	EXP 	fixation: autoDraw = False
105.5058 	EXP 	grating: autoDraw = False
105.5058 	EXP 	grating: ori = 0.0
105.5058 	EXP 	fixation: autoDraw = True
105.8595 	DATA 	Keypress: right
106.0065 	EXP 	fixation: autoDraw = False
106.0065 	EXP 	grating: autoDraw = True
106.3066 	EXP 	grating: autoDraw = False
106.4755 	DATA 	Keypress: left
107.2083 	DATA 	Keypress: left
107.2219 	EXP 	fixation: autoDraw = False
107.2219 	EXP 	grating: autoDraw = False
107.2219 	EXP 	grating: ori = 0.0
107.2219 	EXP 	fixation: autoDraw = True
107.7065 	EXP 	grating: autoDraw = True
107.7222 	EXP 	fixation: autoDraw = False
107.7938 	DATA 	Keypress: left
107.8053 	EXP 	fixation: autoDraw = False
107.8053 	EXP 	grating: autoDraw = False
107.8053 	EXP 	grating: ori = 0.0
107.8053 	EXP 	fixation: autoDraw = True
108.2258 	DATA 	Keypress: right
108.3065 	EXP 	fixation: autoDraw = False
108.3065 	EXP 	grating: autoDraw = True
108.6055 	EXP 	grating: autoDraw = False
108.9404 	DATA 	Keypress: right
109.3915 	DATA 	Keypress: left
109.4051 	EXP 	fixation: autoDraw = False
109.4051 	EXP 	grating: autoDraw = False
109.4051 	EXP 	grating: ori = 0.0
109.4051 	EXP 	fixation: autoDraw = True
109.8577 	DATA 	Keypress: left
109.9039 	EXP 	fixation: autoDraw = False
109.9039 	EXP 	grating: autoDraw = True
110.2053 	EXP 	grating: autoDraw = False
110.3916 	DATA 	Keypress: right
110.4048 	EXP 	fixation: autoDraw = False
110.4048 	EXP 	grating: autoDraw = False
110.4048 	EXP 	grating: ori = 0.0
110.4048 	EXP 	fixation: autoDraw = True
110.9050 	EXP 	fixation: autoDraw = False
110.9050 	EXP 	grating: autoDraw = True
110.9424 	DATA 	Keypress: right
110.9545 	EXP 	fixation: autoDraw = False
110.9545 	EXP 	grating: autoDraw = False
110.9545 	EXP 	grating: ori = 0.0
110.9545 	EXP 	fixation: autoDraw = True
111.3084 	DATA 	Keypress: left
111.4545 	EXP 	fixation: autoDraw = False
111.4545 	EXP 	grating: autoDraw = True
111.7552 	EXP 	grating: autoDraw = False
111.9241 	DATA 	Keypress: right
112.5570 	DATA 	Keypress: left
113.9587 	DATA 	Keypress: left
113.9588 	DATA 	Keypress: right
113.9712 	EXP 	fixation: autoDraw = False
113.9712 	EXP 	grating: autoDraw = False
113.9712 	EXP 	grating: ori = 0.0
113.9712 	EXP 	fixation: autoDraw = True
114.2737 	DATA 	Keypress: right
114.4713 	EXP 	fixation: autoDraw = False
114.4713 	EXP 	grating: autoDraw = True
114.7878 	EXP 	grating: autoDraw = False
115.1406 	DATA 	Keypress: left
115.1577 	DATA 	Keypress: right
116.4578 	DATA 	Keypress: right
116.4721 	EXP 	fixation: autoDraw = False
116.4721 	EXP 	grating: autoDraw = False
116.4721 	EXP 	grating: ori = 0.0
116.4721 	EXP 	fixation: autoDraw = True
116.9722 	EXP 	grating: autoDraw = True
116.9756 	DATA 	Keypress: right
116.9882 	EXP 	fixation: autoDraw = False
117.2866 	EXP 	grating: autoDraw = False
117.9740 	DATA 	Keypress: left
117.9864 	EXP 	fixation: autoDraw = False
117.9864 	EXP 	grating: autoDraw = False
117.9864 	EXP 	grating: ori = 0.0
117.9864 	EXP 	fixation: autoDraw = True
118.4872 	EXP 	fixation: autoDraw = False
118.4872 	EXP 	grating: autoDraw = True
118.7861 	EXP 	grating: autoDraw = False
120.9393 	DATA 	Keypress: right
120.9517 	EXP 	fixation: autoDraw = False
120.9517 	EXP 	grating: autoDraw = False
120.9517 	EXP 	grating: ori = 0.0
120.9517 	EXP 	fixation: autoDraw = True
121.4530 	EXP 	fixation: autoDraw = False
121.4530 	EXP 	grating: autoDraw = True
121.5555 	DATA 	Keypress: right
121.5692 	EXP 	fixation: autoDraw = False
121.5692 	EXP 	grating: autoDraw = False
121.5692 	EXP 	grating: ori = 0.0
121.5692 	EXP 	fixation: autoDraw = True
122.0694 	EXP 	fixation: autoDraw = False
122.0694 	EXP 	grating: autoDraw = True
122.3395 	DATA 	Keypress: right
122.3517 	EXP 	fixation: autoDraw = False
122.3517 	EXP 	grating: autoDraw = False
122.3517 	EXP 	grating: ori = 0.0
122.3517 	EXP 	fixation: autoDraw = True
122.8514 	EXP 	fixation: autoDraw = False
122.8514 	EXP 	grating: autoDraw = True
123.1248 	DATA 	Keypress: right
123.1356 	EXP 	fixation: autoDraw = False
123.1356 	EXP 	grating: autoDraw = False
123.1356 	EXP 	grating: ori = 0.0
123.1356 	EXP 	fixation: autoDraw = True
123.6372 	EXP 	fixation: autoDraw = False
123.6372 	EXP 	grating: autoDraw = True
123.9524 	EXP 	grating: autoDraw = False
123.9948 	DATA 	Keypress: right
124.0033 	EXP 	fixation: autoDraw = False
124.0033 	EXP 	grating: autoDraw = False
124.0033 	EXP 	grating: ori = 0.0
124.0033 	EXP 	fixation: autoDraw = True
124.5013 	EXP 	fixation: autoDraw = False
124.5013 	EXP 	grating: autoDraw = True
124.7893 	DATA 	Keypress: right
124.8014 	EXP 	grating: autoDraw = False
126.1231 	DATA 	Keypress: left
126.1348 	EXP 	fixation: autoDraw = False
126.1348 	EXP 	grating: autoDraw = False
126.1348 	EXP 	grating: ori = 0.0
126.1348 	EXP 	fixation: autoDraw = True
126.6365 	EXP 	fixation: autoDraw = False
126.6365 	EXP 	grating: autoDraw = True
126.9518 	EXP 	grating: autoDraw = False
127.1889 	DATA 	Keypress: right
127.2018 	EXP 	fixation: autoDraw = False
127.2018 	EXP 	grating: autoDraw = False
127.2018 	EXP 	grating: ori = 0.0
127.2018 	EXP 	fixation: autoDraw = True
127.7015 	EXP 	fixation: autoDraw = False
127.7015 	EXP 	grating: autoDraw = True
128.0009 	EXP 	grating: autoDraw = False
128.3865 	DATA 	Keypress: right
130.0040 	DATA 	Keypress: right
130.0174 	EXP 	fixation: autoDraw = False
130.0174 	EXP 	grating: autoDraw = False
130.0174 	EXP 	grating: ori = 0.0
130.0174 	EXP 	fixation: autoDraw = True
130.5171 	EXP 	fixation: autoDraw = False
130.5171 	EXP 	grating: autoDraw = True
130.5380 	DATA 	Keypress: right
130.5504 	EXP 	fixation: autoDraw = False
130.5504 	EXP 	grating: autoDraw = False
130.5504 	EXP 	grating: ori = 0.0
130.5504 	EXP 	fixation: autoDraw = True
131.0501 	EXP 	fixation: autoDraw = False
131.0501 	EXP 	grating: autoDraw = True
131.3497 	EXP 	grating: autoDraw = False
131.3690 	DATA 	Keypress: right
133.0525 	DATA 	Keypress: left
134.3687 	DATA 	Keypress: left
135.4513 	DATA 	Keypress: left
136.0184 	DATA 	Keypress: right
136.8690 	DATA 	Keypress: left
136.8824 	EXP 	fixation: autoDraw = False
136.8824 	EXP 	grating: autoDraw = False
136.8824 	EXP 	grating: ori = 0.0
136.8824 	EXP 	fixation: autoDraw = True
137.3827 	EXP 	grating: autoDraw = True
137.3994 	EXP 	fixation: autoDraw = False
137.4862 	DATA 	Keypress: right
137.4983 	EXP 	fixation: autoDraw = False
137.4983 	EXP 	grating: autoDraw = False
137.4983 	EXP 	grating: ori = 0.0
137.4983 	EXP 	fixation: autoDraw = True
137.9990 	EXP 	fixation: autoDraw = False
137.9990 	EXP 	grating: autoDraw = True
138.0857 	DATA 	Keypress: right
138.2979 	EXP 	grating: autoDraw = False
138.8861 	DATA 	Keypress: right
138.8980 	EXP 	fixation: autoDraw = False
138.8980 	EXP 	grating: autoDraw = False
138.8980 	EXP 	grating: ori = 0.0
138.8980 	EXP 	fixation: autoDraw = True
139.3984 	EXP 	fixation: autoDraw = False
139.3984 	EXP 	grating: autoDraw = True
139.5513 	DATA 	Keypress: right
139.6978 	EXP 	grating: autoDraw = False
139.8167 	DATA 	Keypress: right
140.3018 	DATA 	Keypress: right
140.3142 	EXP 	fixation: autoDraw = False
140.3142 	EXP 	grating: autoDraw = False
140.3142 	EXP 	grating: ori = 0.0
140.3142 	EXP 	fixation: autoDraw = True
140.5679 	DATA 	Keypress: right
140.8144 	EXP 	fixation: autoDraw = False
140.8144 	EXP 	grating: autoDraw = True
141.0522 	DATA 	Keypress: right
141.0647 	EXP 	fixation: autoDraw = False
141.0647 	EXP 	grating: autoDraw = False
141.0647 	EXP 	grating: ori = 0.0
141.0647 	EXP 	fixation: autoDraw = True
141.4003 	DATA 	Keypress: right
141.5639 	EXP 	fixation: autoDraw = False
141.5639 	EXP 	grating: autoDraw = True
141.8640 	EXP 	grating: autoDraw = False
142.0509 	DATA 	Keypress: right
142.6169 	DATA 	Keypress: right
143.4176 	DATA 	Keypress: right
143.4309 	EXP 	fixation: autoDraw = False
143.4309 	EXP 	grating: autoDraw = False
143.4309 	EXP 	grating: ori = 0.0
143.4309 	EXP 	fixation: autoDraw = True
143.9311 	EXP 	fixation: autoDraw = False
143.9311 	EXP 	grating: autoDraw = True
143.9344 	DATA 	Keypress: right
144.2304 	EXP 	grating: autoDraw = False
144.4845 	DATA 	Keypress: right
144.4974 	EXP 	fixation: autoDraw = False
144.4974 	EXP 	grating: autoDraw = False
144.4974 	EXP 	grating: ori = 0.0
144.4974 	EXP 	fixation: autoDraw = True
144.9968 	EXP 	fixation: autoDraw = False
144.9968 	EXP 	grating: autoDraw = True
145.2962 	EXP 	grating: autoDraw = False
145.3344 	DATA 	Keypress: right
145.3474 	EXP 	fixation: autoDraw = False
145.3474 	EXP 	grating: autoDraw = False
145.3474 	EXP 	grating: ori = 0.0
145.3474 	EXP 	fixation: autoDraw = True
145.8469 	EXP 	fixation: autoDraw = False
145.8469 	EXP 	grating: autoDraw = True
145.9500 	DATA 	Keypress: right
145.9634 	EXP 	fixation: autoDraw = False
145.9634 	EXP 	grating: autoDraw = False
145.9634 	EXP 	grating: ori = 0.0
145.9634 	EXP 	fixation: autoDraw = True
146.4637 	EXP 	fixation: autoDraw = False
146.4637 	EXP 	grating: autoDraw = True
146.4826 	DATA 	Keypress: right
146.4972 	EXP 	fixation: autoDraw = False
146.4972 	EXP 	grating: autoDraw = False
146.5729 	EXP 	window1: mouseVisible = True
